,id,zpdf,mass,AGN or not
0,510152,0.277,9.586,0
1,815565,0.261,9.359,1
2,797081,0.31,9.429,0
3,976737,0.332,9.496,1
4,911899,0.319,10.039,0
5,426691,0.312,9.978,1
6,768111,0.323,10.553,0
7,504031,0.31,10.349,1
8,551328,0.33,10.575,0
9,904278,0.329,10.65,0
10,580295,0.33,10.768,0
11,758597,0.31,10.78,1
12,492719,0.31,10.786,1
13,498848,0.33,10.745,1
14,931801,0.329,10.983,0
15,862431,0.33,10.98,1
16,317720,0.337,10.697,0
17,961641,0.34,10.596,1
18,786830,0.339,11.343,0
19,779250,0.34,11.396,1
20,529855,0.379,10.384,0
21,942347,0.367,10.465,1
22,487826,0.371,11.013,0
23,506681,0.371,10.868,1
24,872872,0.411,10.074,0
25,599961,0.41,10.069,1
26,418640,0.42,9.724,0
27,906741,0.416,9.783,0
28,962936,0.414,9.809,1
29,552529,0.434,9.68,1
30,739711,0.431,9.864,0
31,506625,0.439,9.981,1
32,518166,0.43,10.108,0
33,595481,0.421,10.089,1
34,847062,0.428,10.353,0
35,815426,0.42,10.328,1
36,230785,0.429,10.626,0
37,510518,0.43,10.785,1
38,554361,0.45,10.94,0
39,453783,0.459,11.032,1
40,809167,0.44,11.348,0
41,938172,0.441,11.379,1
42,605055,0.481,11.088,0
43,596558,0.485,11.082,1
44,533239,0.5,10.492,0
45,758290,0.503,10.37,1
46,450055,0.52,10.656,0
47,835071,0.503,10.774,1
48,487555,0.532,9.569,0
49,208048,0.542,9.482,1
50,884940,0.543,9.835,0
51,508437,0.543,9.899,1
52,342587,0.539,10.285,0
53,736471,0.533,10.168,1
54,450904,0.523,10.453,0
55,443369,0.537,10.355,1
56,509765,0.542,11.19,0
57,529051,0.53,11.113,1
58,249669,0.57,9.573,0
59,529834,0.557,9.464,1
60,419317,0.57,9.914,0
61,627781,0.571,9.855,1
62,637663,0.558,10.783,0
63,805633,0.568,10.758,0
64,953904,0.568,10.756,1
65,249989,0.553,10.601,1
66,826212,0.596,10.48,0
67,599093,0.587,10.341,1
68,737604,0.59,10.823,0
69,986942,0.589,10.821,1
70,1001008,0.602,9.008,0
71,899065,0.619,8.859,1
72,900827,0.62,9.387,0
73,551551,0.622,9.587,1
74,837651,0.623,10.127,0
75,946918,0.611,10.26,1
76,428515,0.619,10.905,0
77,818838,0.605,10.844,1
78,810765,0.609,11.12,0
79,881252,0.613,11.187,1
80,856060,0.65,9.53,0
81,990935,0.634,9.426,1
82,803830,0.634,10.345,0
83,250122,0.655,10.326,1
84,316931,0.64,11.139,0
85,768966,0.651,11.092,0
86,733796,0.65,11.107,1
87,566989,0.641,11.083,1
88,812706,0.679,10.482,0
89,781581,0.681,10.334,1
90,729517,0.67,10.578,0
91,475972,0.681,10.672,0
92,215847,0.68,10.631,0
93,640623,0.66,10.768,0
94,761339,0.68,10.81,0
95,531390,0.67,10.683,1
96,443302,0.676,10.744,1
97,858925,0.681,10.733,1
98,456823,0.67,10.801,1
