,id,zpdf,mass
0,510152,0.277,9.586
1,937461,0.26,9.389
2,797081,0.31,9.429
3,516448,0.319,9.437
4,911899,0.319,10.039
5,940530,0.316,9.991
6,768111,0.323,10.553
7,428820,0.33,10.466
8,551328,0.33,10.575
9,904278,0.329,10.65
10,580295,0.33,10.768
11,756497,0.31,10.676
12,944383,0.329,10.696
13,916633,0.331,10.621
14,931801,0.329,10.983
15,596735,0.329,10.971
16,317720,0.337,10.697
17,998547,0.34,10.685
18,786830,0.339,11.343
19,652611,0.35,11.362
20,529855,0.379,10.384
21,551406,0.362,10.543
22,487826,0.371,11.013
23,1017055,0.36,10.839
24,872872,0.411,10.074
25,589787,0.413,10.019
26,418640,0.42,9.724
27,906741,0.416,9.783
28,452469,0.415,9.613
29,763486,0.431,9.813
30,739711,0.431,9.864
31,597524,0.433,9.978
32,518166,0.43,10.108
33,733308,0.429,10.149
34,847062,0.428,10.353
35,525613,0.421,10.333
36,230785,0.429,10.626
37,890449,0.432,10.689
38,554361,0.45,10.94
39,782026,0.454,10.871
40,809167,0.44,11.348
41,938172,0.441,11.379
42,605055,0.481,11.088
43,893899,0.491,11.107
44,533239,0.5,10.492
45,826935,0.499,10.385
46,450055,0.52,10.656
47,351189,0.52,10.642
48,487555,0.532,9.569
49,477550,0.524,9.43
50,884940,0.543,9.835
51,447952,0.524,10.056
52,342587,0.539,10.285
53,398891,0.525,10.148
54,450904,0.523,10.453
55,349202,0.544,10.387
56,509765,0.542,11.19
57,341156,0.526,11.15
58,249669,0.57,9.573
59,595498,0.55,9.589
60,419317,0.57,9.914
61,737701,0.557,9.965
62,637663,0.558,10.783
63,805633,0.568,10.758
64,249989,0.553,10.601
65,953904,0.568,10.756
66,826212,0.596,10.48
67,417179,0.601,10.333
68,737604,0.59,10.823
69,502319,0.6,10.963
70,1001008,0.602,9.008
71,793623,0.616,8.886
72,900827,0.62,9.387
73,334853,0.611,9.404
74,837651,0.623,10.127
75,921345,0.62,10.204
76,428515,0.619,10.905
77,993251,0.607,10.97
78,810765,0.609,11.12
79,340778,0.62,11.216
80,856060,0.65,9.53
81,500183,0.634,9.37
82,803830,0.634,10.345
83,929645,0.655,10.565
84,316931,0.64,11.139
85,768966,0.651,11.092
86,509766,0.64,11.095
87,595950,0.632,11.244
88,812706,0.679,10.482
89,452468,0.666,10.415
90,729517,0.67,10.578
91,475972,0.681,10.672
92,215847,0.68,10.631
93,640623,0.66,10.768
94,761339,0.68,10.81
95,763510,0.683,10.653
96,436394,0.67,10.685
97,541256,0.657,10.582
98,640847,0.671,10.666
99,486118,0.673,10.768
100,905927,0.672,10.974
101,446464,0.66,10.846
102,855876,0.67,10.853
103,446696,0.667,10.866
104,880457,0.67,11.088
105,804324,0.68,11.232
106,564353,0.669,11.11
107,803027,0.677,11.087
108,400930,0.7,9.952
109,433218,0.705,9.986
110,890018,0.705,10.313
111,800486,0.689,10.29
112,878287,0.69,10.101
113,961631,0.703,10.117
114,1029085,0.7,10.174
115,916507,0.688,10.096
116,309063,0.709,10.408
117,530967,0.709,10.399
118,994189,0.688,10.361
119,1003258,0.692,10.553
120,547496,0.689,10.949
121,403300,0.703,10.96
122,806711,0.706,10.991
123,791306,0.691,10.924
124,800290,0.693,10.997
125,883906,0.683,10.939
126,423348,0.691,11.146
127,734678,0.709,11.106
128,948105,0.719,10.415
129,455530,0.73,10.475
130,605519,0.728,10.796
131,611879,0.71,10.646
132,946297,0.717,10.737
133,830055,0.721,10.685
134,936196,0.722,10.944
135,501652,0.735,10.914
136,886628,0.73,11.008
137,301432,0.721,10.94
138,759837,0.711,11.298
139,505243,0.719,11.115
140,902450,0.727,11.059
141,817173,0.727,11.243
142,348646,0.713,11.379
143,801764,0.718,11.347
144,939857,0.729,11.502
145,597237,0.726,11.348
146,920814,0.741,9.316
147,519959,0.749,9.203
148,443428,0.753,10.491
149,786613,0.752,10.486
150,829342,0.761,10.804
151,548084,0.748,10.626
152,615692,0.76,10.921
153,503138,0.737,11.03
154,643256,0.762,11.092
155,984954,0.755,11.153
156,572704,0.78,10.756
157,573007,0.79,10.673
158,763207,0.767,10.72
159,393165,0.783,10.762
160,893898,0.791,10.742
161,951617,0.777,10.582
162,572088,0.781,11.196
163,965121,0.79,11.133
164,301078,0.805,10.621
165,547306,0.795,10.77
166,541830,0.796,10.745
