,id,zpdf,mass
0,510152,0.277,9.586
1,920547,0.268,9.468
2,797081,0.31,9.429
3,466970,0.329,9.584
4,618975,0.313,9.466
5,953809,0.317,9.485
6,469151,0.32,9.65
7,503511,0.319,9.625
8,911899,0.319,10.039
9,804044,0.33,9.893
10,933788,0.319,10.108
11,551328,0.33,10.575
12,768111,0.323,10.553
13,490963,0.32,10.509
14,904278,0.329,10.65
15,580295,0.33,10.768
16,416873,0.32,10.63
17,492719,0.31,10.786
18,931801,0.329,10.983
19,422894,0.33,10.928
20,317720,0.337,10.697
21,309524,0.34,10.71
22,625172,0.352,10.81
23,786830,0.339,11.343
24,931300,0.35,11.523
25,529855,0.379,10.384
26,617043,0.385,10.445
27,1015901,0.36,10.568
28,904639,0.364,10.582
29,913884,0.361,10.587
30,795581,0.381,10.563
31,487826,0.371,11.013
32,872872,0.411,10.074
33,486418,0.401,10.015
34,918360,0.401,10.118
35,418640,0.42,9.724
36,739711,0.431,9.864
37,906741,0.416,9.783
38,902649,0.429,9.731
39,435563,0.435,9.732
40,899278,0.432,9.795
41,518166,0.43,10.108
42,949365,0.42,9.976
43,432515,0.437,9.969
44,847062,0.428,10.353
45,526335,0.44,10.278
46,553355,0.44,10.277
47,917042,0.426,10.235
48,230785,0.429,10.626
49,788676,0.44,10.697
50,554361,0.45,10.94
51,940852,0.44,10.948
52,809167,0.44,11.348
53,605055,0.481,11.088
54,533239,0.5,10.492
55,783593,0.502,10.425
56,898397,0.499,10.397
57,450055,0.52,10.656
58,536357,0.516,10.617
59,487555,0.532,9.569
60,785089,0.522,9.455
61,471321,0.523,9.617
62,551061,0.529,9.626
63,884940,0.543,9.835
64,467918,0.542,9.66
65,342587,0.539,10.285
66,232105,0.53,10.327
67,947402,0.54,10.137
68,450904,0.523,10.453
69,464862,0.529,10.426
70,509765,0.542,11.19
71,497791,0.53,11.075
72,249669,0.57,9.573
73,594584,0.552,9.479
74,447156,0.558,9.598
75,927980,0.562,9.445
76,492951,0.553,9.577
77,249739,0.565,9.51
78,419317,0.57,9.914
79,348100,0.575,10.034
80,418855,0.565,9.898
81,637663,0.558,10.783
82,805633,0.568,10.758
83,502331,0.57,10.659
84,643419,0.57,10.688
85,826212,0.596,10.48
86,1015441,0.582,10.555
87,737604,0.59,10.823
88,731367,0.586,10.721
89,1001008,0.602,9.008
90,843617,0.605,9.082
91,829465,0.611,9.022
92,613441,0.619,9.062
93,937045,0.618,9.078
94,960614,0.603,9.009
95,900827,0.62,9.387
96,513727,0.603,9.271
97,457517,0.627,9.383
98,940139,0.613,9.257
99,837651,0.623,10.127
100,507373,0.615,10.324
101,293439,0.613,10.267
102,849815,0.608,10.128
103,442383,0.61,10.2
104,428515,0.619,10.905
105,818020,0.609,11.027
106,810765,0.609,11.12
107,583123,0.618,11.156
108,856060,0.65,9.53
109,989424,0.651,9.633
110,803830,0.634,10.345
111,316931,0.64,11.139
112,768966,0.651,11.092
113,335028,0.651,11.131
